word,meaning,sentence,sentence_jp
abandon,捨てる,He abandoned the plan.,彼はその計画を捨てた。
ability,能力,She has the ability to learn quickly.,彼女はすぐに学ぶ能力がある。
able,できる,I am able to swim.,私は泳ぐことができる。
about,〜について,This book is about history.,この本は歴史についてだ。
above,〜の上に,The picture is above the bed.,その絵はベッドの上にある。
accept,受け入れる,I accept your offer.,私はあなたの申し出を受け入れる。
access,アクセス,You can access the file.,そのファイルにアクセスできる。
accident,事故,There was an accident.,事故があった。
account,口座,I opened a bank account.,銀行口座を開いた。
across,〜を横切って,We walked across the street.,私たちは通りを横切った。
act,行動する,You must act now.,今行動すべきだ。
action,行動,Take action immediately.,すぐに行動しなさい。
activity,活動,This activity is fun.,この活動は楽しい。
actually,実は,I actually know him.,実は彼を知っている。
add,加える,Add sugar to tea.,紅茶に砂糖を加える。
address,住所,What is your address?,あなたの住所は？
adult,大人,He is an adult.,彼は大人だ。
advice,助言,Give me some advice.,助言をください。
affect,影響する,Smoking affects health.,喫煙は健康に影響する。
afraid,怖がって,I am afraid of dogs.,私は犬が怖い。
after,〜の後,"After school, I go home.",放課後家に帰る。
again,再び,Try again.,もう一度試して。
against,〜に反対して,I am against it.,私はそれに反対だ。
age,年齢,What is your age?,あなたの年齢は？
agree,同意する,I agree with you.,あなたに同意する。
air,空気,The air is clean.,空気はきれいだ。
all,すべて,All students are here.,全ての学生がここにいる。
allow,許す,My parents allow me to go.,両親は行くのを許している。
almost,ほとんど,I almost finished.,ほとんど終わった。
alone,一人で,I live alone.,私は一人で住んでいる。
already,すでに,I already ate.,もう食べた。
also,〜もまた,I also like music.,私も音楽が好きだ。
always,いつも,I always study.,私はいつも勉強する。
amazing,驚くべき,It is amazing.,それは驚くべきだ。
amount,量,A large amount of water.,大量の水。
animal,動物,The animal is cute.,その動物はかわいい。
answer,答え,Give me the answer.,答えをください。
anxious,不安な,I feel anxious.,不安に感じる。
any,いくつかの,Do you have any questions?,質問はありますか？
apartment,アパート,I live in an apartment.,アパートに住んでいる。
appear,現れる,He appeared suddenly.,彼は突然現れた。
apple,リンゴ,I eat an apple.,リンゴを食べる。
apply,応募する,I apply for the job.,その仕事に応募する。
area,地域,This area is quiet.,この地域は静かだ。
argue,議論する,They argue often.,彼らはよく議論する。
arm,腕,He hurt his arm.,彼は腕をけがした。
around,周りに,Look around you.,周りを見て。
arrive,到着する,I arrive at school.,学校に到着する。
art,芸術,I like art.,私は芸術が好きだ。
article,記事,I read an article.,記事を読んだ。
ask,尋ねる,Ask a question.,質問する。
attack,攻撃する,The army attacked.,軍が攻撃した。
attention,注意,Pay attention.,注意を払って。
audience,観客,The audience is big.,観客は多い。
author,著者,He is an author.,彼は作家だ。
available,利用可能な,It is available.,それは利用可能だ。
avoid,避ける,Avoid danger.,危険を避ける。
away,離れて,Go away.,離れて行け。
baby,赤ちゃん,The baby sleeps.,赤ちゃんは眠る。
back,後ろ,Come back.,戻ってきて。
bad,悪い,This is bad.,これは悪い。
bag,バッグ,I have a bag.,バッグを持っている。
ball,ボール,The ball is red.,ボールは赤い。
bank,銀行,I go to the bank.,銀行へ行く。
base,基礎,This is the base.,これは基礎だ。
basic,基本的な,Basic skills are important.,基本的な技能は重要だ。
beautiful,美しい,She is beautiful.,彼女は美しい。
because,なぜなら,I left because I was tired.,疲れたので去った。
become,〜になる,I became happy.,私は幸せになった。
bed,ベッド,I go to bed.,ベッドに行く。
before,前に,Before dinner,夕食前に
begin,始める,Start to begin.,始める。
behavior,行動,His behavior is strange.,彼の行動は変だ。
behind,後ろに,Behind the door.,ドアの後ろ。
believe,信じる,I believe you.,あなたを信じる。
benefit,利益,It is a benefit.,それは利益だ。
best,最良の,This is the best.,これが最高だ。
better,より良い,It is better now.,今はより良い。
between,間,Between A and B,AとBの間
big,大きい,A big house.,大きな家。
bill,請求書,Pay the bill.,請求書を払う。
bird,鳥,The bird flies.,鳥は飛ぶ。
birth,誕生,The birth of a baby.,赤ちゃんの誕生。
black,黒い,Black cat.,黒い猫。
blood,血,Blood is red.,血は赤い。
blue,青い,Blue sky.,青い空。
body,体,My body is tired.,体が疲れている。
book,本,I read a book.,本を読む。
born,生まれた,I was born in Japan.,日本で生まれた。
both,両方,Both are good.,両方良い。
box,箱,A box is here.,箱がある。
boy,少年,The boy runs.,少年が走る。
break,壊す,Break the glass.,ガラスを割る。
bring,持ってくる,Bring it here.,ここに持ってきて。
brother,兄弟,My brother is kind.,私の兄は優しい。
build,建てる,Build a house.,家を建てる。
business,ビジネス,He has a business.,彼はビジネスを持っている。
busy,忙しい,I am busy.,私は忙しい。
but,しかし,I like it but...,好きだが…
buy,買う,Buy a book.,本を買う。
by,〜によって,Written by me.,私によって書かれた。
call,呼ぶ,Call me.,私を呼んで。
can,できる,I can swim.,泳げる。
car,車,I have a car.,車を持っている。
card,カード,This is my card.,これは私のカードだ。
care,世話,Take care.,気をつけて。
carry,運ぶ,Carry this box.,この箱を運ぶ。
case,場合,In this case,この場合
cat,猫,The cat sleeps.,猫は寝る。
catch,捕まえる,Catch the ball.,ボールを捕る。
cause,原因,What causes it?,原因は何？
cell,細胞,A cell is small.,細胞は小さい。
center,中心,In the center.,中心に。
change,変える,Change it.,それを変える。
child,子供,The child plays.,子供は遊ぶ。
city,都市,Tokyo is a city.,東京は都市だ。
class,授業,I have class.,授業がある。
clean,きれいな,Clean room.,きれいな部屋。
clear,明確な,It is clear.,明確だ。
close,閉じる,Close the door.,ドアを閉じる。
cold,寒い,It is cold.,寒い。
come,来る,Come here.,ここに来て。
common,一般的な,It is common.,一般的だ。
company,会社,I work for a company.,会社で働く。
compare,比較する,Compare A and B.,AとBを比較する。
complete,完成する,Complete the task.,課題を終える。
computer,コンピュータ,I use a computer.,コンピュータを使う。
continue,続ける,Continue studying.,勉強を続ける。
control,制御する,Control the system.,システムを制御する。
cook,料理する,I cook dinner.,夕食を作る。
copy,コピーする,Copy this file.,ファイルをコピーする。
cost,費用,It costs money.,お金がかかる。
country,国,Japan is a country.,日本は国だ。
course,講座,Take a course.,講座を取る。
create,作る,Create a file.,ファイルを作る。
crime,犯罪,Crime is bad.,犯罪は悪い。
culture,文化,Japanese culture.,日本文化。
cup,カップ,A cup of tea.,一杯の茶。
customer,顧客,A customer buys.,顧客が買う。
cut,切る,Cut the paper.,紙を切る。
dark,暗い,It is dark.,暗い。
data,データ,Collect data.,データを集める。
day,日,Today is a day.,今日は一日。
dead,死んだ,The plant is dead.,植物は枯れている。
deal,取引,Deal with it.,対処する。
death,死,Death is natural.,死は自然だ。
decide,決める,Decide now.,今決める。
deep,深い,Deep water.,深い水。
degree,程度,High degree.,高い程度。
deliver,届ける,Deliver the mail.,郵便を届ける。
demand,需要,High demand.,高い需要。
design,設計する,Design a logo.,ロゴを設計する。
develop,発展させる,Develop skills.,スキルを伸ばす。
die,死ぬ,Animals die.,動物は死ぬ。
difference,違い,What is the difference?,違いは何？
different,異なる,They are different.,それらは異なる。
difficult,難しい,It is difficult.,難しい。
dinner,夕食,Eat dinner.,夕食を食べる。
direction,方向,Go in this direction.,この方向へ行く。
discover,発見する,Discover new things.,新しいものを発見する。
discuss,議論する,Discuss the problem.,問題を議論する。
doctor,医者,See a doctor.,医者に行く。
dog,犬,The dog runs.,犬は走る。
door,ドア,Open the door.,ドアを開ける。
down,下へ,Go down.,下へ行く。
draw,描く,Draw a picture.,絵を描く。
dream,夢,I have a dream.,夢がある。
drink,飲む,Drink water.,水を飲む。
drive,運転する,Drive a car.,車を運転する。
drop,落とす,Drop it.,それを落とす。
drug,薬,Take the drug.,薬を飲む。
during,〜の間,During class,授業の間
each,それぞれ,Each student.,それぞれの学生。
early,早い,I wake early.,早く起きる。
earth,地球,The earth is round.,地球は丸い。
easy,簡単な,It is easy.,簡単だ。
eat,食べる,Eat rice.,ご飯を食べる。
economic,経済の,Economic growth.,経済成長。
edge,端,At the edge.,端に。
education,教育,Education is important.,教育は重要だ。
effect,効果,It has an effect.,効果がある。
effort,努力,Make effort.,努力する。
eight,8,Eight students.,8人の学生。
either,どちらか,Either one is fine.,どちらでも良い。
electric,電気の,Electric power.,電力。
end,終わり,The end.,終わり。
energy,エネルギー,Save energy.,エネルギーを節約。
engine,エンジン,Car engine.,車のエンジン。
enjoy,楽しむ,Enjoy life.,人生を楽しむ。
enough,十分な,Enough time.,十分な時間。
enter,入る,Enter the room.,部屋に入る。
environment,環境,Protect environment.,環境を守る。
especially,特に,Especially important.,特に重要。
even,〜でさえ,Even I know.,私でさえ知っている。
event,出来事,Big event.,大きな出来事。
ever,今まで,Have you ever...?,今までに〜したことある？
every,すべての,Every day.,毎日。
evidence,証拠,No evidence.,証拠がない。
example,例,For example,例えば
excellent,優れた,Excellent work.,優れた仕事。
except,〜を除いて,Everyone except me.,私以外全員。
excite,興奮させる,It excites me.,それは興奮させる。
exercise,運動,Do exercise.,運動する。
expect,期待する,I expect success.,成功を期待する。
experience,経験,Good experience.,良い経験。
explain,説明する,Explain it.,それを説明する。
express,表現する,Express feelings.,感情を表現する。
eye,目,My eye hurts.,目が痛い。
face,顔,Her face is bright.,彼女の顔は明るい。
fact,事実,It is a fact.,それは事実だ。
fail,失敗する,Don't fail.,失敗するな。
fall,落ちる,Fall down.,倒れる。
family,家族,My family is big.,家族は大きい。
far,遠い,Far away.,遠い。
fast,速い,Run fast.,速く走る。
father,父,My father works.,父は働く。
fear,恐れ,Fear is natural.,恐れは自然だ。
feel,感じる,Feel happy.,幸せを感じる。
few,少しの,Few people.,少数の人々。
field,分野,Science field.,科学分野。
fight,戦う,Fight for justice.,正義のために戦う。
figure,数字/人物,A famous figure.,有名な人物。
fill,満たす,Fill the cup.,カップを満たす。
final,最終の,Final exam.,最終試験。
find,見つける,Find a job.,仕事を見つける。
fine,元気な,I am fine.,元気です。
finish,終える,Finish homework.,宿題を終える。
fire,火,Make a fire.,火を起こす。
first,最初の,First step.,最初の一歩。
fish,魚,I eat fish.,魚を食べる。
fit,合う,It fits me.,それは合う。
five,5,Five books.,5冊の本。
fix,直す,Fix the car.,車を直す。
floor,床,Clean the floor.,床を掃除する。
flow,流れる,Water flows.,水が流れる。
fly,飛ぶ,Birds fly.,鳥は飛ぶ。
focus,集中する,Focus on study.,勉強に集中する。
follow,従う,Follow me.,ついてきて。
food,食べ物,Good food.,おいしい食べ物。
foot,足,My foot hurts.,足が痛い。
force,力,Use force.,力を使う。
foreign,外国の,Foreign language.,外国語。
form,形,Form a group.,グループを作る。
free,自由な,Free time.,自由時間。
friend,友達,My friend is kind.,友達は優しい。
front,前,In front.,前に。
full,いっぱいの,Full glass.,いっぱいのグラス。
future,未来,In the future.,未来に。
